2021-01-07 23:23:13,687 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 55
2021-01-07 23:23:13,692 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 56
2021-01-07 23:23:13,697 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 57
2021-01-07 23:23:13,704 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 58
2021-01-07 23:23:13,711 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 59
2021-01-07 23:23:13,718 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 6
2021-01-07 23:23:13,725 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 60
2021-01-07 23:23:13,732 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 61
2021-01-07 23:23:13,739 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 62
2021-01-07 23:23:13,743 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 63
2021-01-07 23:23:13,748 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 64
